"filename", "language", "vue", "TypeScript", "XML", "comment", "blank", "total"
"d:\前端学习\08.project\10.vue3-auth\src\Layout\Classic.vue", "vue", 2, 0, 0, 0, 1, 3
"d:\前端学习\08.project\10.vue3-auth\src\api\config.ts", "TypeScript", 0, 6, 0, 1, 2, 9
"d:\前端学习\08.project\10.vue3-auth\src\api\login.ts", "TypeScript", 0, 20, 0, 12, 3, 35
"d:\前端学习\08.project\10.vue3-auth\src\api\types.ts", "TypeScript", 0, 10, 0, 0, 1, 11
"d:\前端学习\08.project\10.vue3-auth\src\assets\i18n\data.ts", "TypeScript", 0, 6, 0, 0, 0, 6
"d:\前端学习\08.project\10.vue3-auth\src\assets\i18n\zh.ts", "TypeScript", 0, 54, 0, 0, 0, 54
"d:\前端学习\08.project\10.vue3-auth\src\assets\svg\gitee.svg", "XML", 0, 0, 6, 0, 0, 6
"d:\前端学习\08.project\10.vue3-auth\src\components\CommonTable.ts", "TypeScript", 0, 14, 0, 3, 0, 17
"d:\前端学习\08.project\10.vue3-auth\src\components\CommonTable.vue", "vue", 2, 0, 0, 0, 1, 3
"d:\前端学习\08.project\10.vue3-auth\src\main.ts", "TypeScript", 0, 2, 0, 0, 0, 2
"d:\前端学习\08.project\10.vue3-auth\src\router\index.ts", "TypeScript", 0, 12, 0, 0, -1, 11
"d:\前端学习\08.project\10.vue3-auth\src\store\test.ts", "TypeScript", 0, 15, 0, 0, 1, 16
"d:\前端学习\08.project\10.vue3-auth\src\utils\i18n.ts", "TypeScript", 0, 36, 0, 7, 12, 55
"d:\前端学习\08.project\10.vue3-auth\src\views\Home.vue", "vue", 121, 0, 0, 0, 64, 185
"d:\前端学习\08.project\10.vue3-auth\src\views\Login.vue", "vue", 18, 0, 0, 0, -1, 17
"d:\前端学习\08.project\10.vue3-auth\src\views\LoginAuth.vue", "vue", 42, 0, 0, 0, 5, 47
"d:\前端学习\08.project\10.vue3-auth\src\views\Register.vue", "vue", 1, 0, 0, 0, 0, 1
"d:\前端学习\08.project\10.vue3-auth\src\views\Test.vue", "vue", 6, 0, 0, 0, -1, 5
"d:\前端学习\08.project\10.vue3-auth\src\views\permission\Functional.vue", "vue", -13, 0, 0, 0, 1, -12
"d:\前端学习\08.project\10.vue3-auth\src\views\permission\Role.vue", "vue", -12, 0, 0, 0, 1, -11
"d:\前端学习\08.project\10.vue3-auth\src\views\permission\function\FunctionConfig.vue", "vue", -3, 0, 0, 0, 0, -3
"d:\前端学习\08.project\10.vue3-auth\src\views\permission\role\RoleConfig.vue", "vue", -2, 0, 0, 0, 0, -2
"d:\前端学习\08.project\10.vue3-auth\src\views\permission\source\SourceConfig.vue", "vue", 4, 0, 0, 0, -1, 3
"d:\前端学习\08.project\10.vue3-auth\src\views\system\I18n.vue", "vue", 46, 0, 0, 0, 8, 54
"Total", "-", 212, 175, 6, 23, 96, 512
